(-30.1087, -37.7586, -4.48394)
(-117.303, -128.726, -58.252)
(-86.6848, -107.213, -6.30197)
(-27.3001, -33.6767, 4.0871)
(-77.4726, -93.4125, -54.8457)
(-58.1884, -67.372, -50.7938)
(-42.8377, -50.3003, -41.4251)
(-42.7232, -52.1108, -34.141)
(-93.539, -109.932, -39.4136)
(-14.0359, -18.1056, -10.0576)
(-73.8058, -87.9767, -34.9366)
(-41.5455, -46.2376, -35.0161)
(-72.4281, -89.3132, -35.6478)
(-44.5535, -58.1296, -15.9362)
(-77.0844, -92.2118, -55.6904)
(-89.7795, -107.831, -23.6323)
(-79.5577, -94.2572, -49.4167)
(-58.0978, -69.9115, -12.1594)
(-80.0818, -93.6977, -36.567)
(-12.9246, -15.9895, 0.750437)
(-55.4716, -75.7726, -7.55584)
(-13.466, -18.015, 0.721215)
(-71.2456, -89.2698, -5.02985)
(-64.7626, -71.3337, -43.6468)
(-57.2102, -65.3256, -49.3117)
(-18.019, -17.2916, -13.9886)
(-29.7573, -33.0226, -21.4837)
(-46.9786, -51.5932, -29.1697)
(-47.2152, -51.295, -26.6667)
(-89.2673, -104.077, -42.6467)
(-77.8851, -87.472, -38.2473)
(-126.184, -141.099, -56.4032)
(-92.177, -101.525, -40.2723)
(-87.5441, -100.967, -21.0169)
(-17.0322, -18.1935, -6.55782)
(-45.3071, -53.9209, -16.2714)
(-77.2386, -83.6563, -20.6463)
(-91.4763, -102.643, -22.574)
(-60.8713, -69.3326, -6.55278)
(-31.2776, -34.7392, -3.11224)
(-72.1617, -85.0795, -2.47573)
(-98.4745, -131.894, -7.86454)
(-78.9007, -80.8624, -54.216)
(-48.7743, -40.9032, -32.6358)
(-73.9965, -74.1443, -51.294)
(-40.1954, -39.907, -42.0221)
(-154.87, -164.861, -97.3876)
(-27.6964, -26.428, -25.6133)
(-128.443, -136.994, -72.481)
(-91.5927, -91.1996, -40.7597)
(-101.527, -118.938, -49.6644)
(-118.403, -112.293, -37.8437)
(-47.5285, -38.9036, -9.96878)
(-32.9972, -30.4429, -10.4078)
(-92.4399, -92.6235, -52.1144)
(-40.6818, -40.2641, -1.26669)
(-137.722, -133.655, -69.4123)
(-41.4017, -44.939, -4.33144)
(-58.426, -59.0841, -8.74837)
(-28.6739, -29.8584, 1.07257)
(-42.7964, -47.7246, -1.99123)
(-103.041, -100.683, -78.6247)
(-69.7483, -63.301, -45.0401)
(-99.113, -105.766, -70.0012)
(-41.2898, -39.9437, -42.5132)
(-165.891, -180.999, -101.328)
(-99.1275, -104.055, -72.7203)
(-93.2076, -90.5735, -39.694)
(-97.8947, -104.235, -52.0467)
(-90.4659, -111.747, -43.9667)
(-88.0016, -94.6637, -37.0976)
(-13.5548, -13.465, -2.21804)
(-87.4531, -97.3435, -32.1317)
(-96.0331, -96.381, -52.7607)
(-86.5963, -91.5707, -28.1489)
(-134.961, -131.379, -67.6167)
(-40.0355, -38.4468, 2.17001)
(-40.6764, -44.0776, -6.22985)
(-44.8437, -40.8987, 4.56469)
(-30.1147, -29.007, 0.150331)
(-64.6895, -62.1582, -49.3584)
(-79.7082, -76.3858, -51.9762)
(-48.0017, -47.9867, -28.6869)
